"_id","timestamp","device_id","network_type","network_subtype","network_state"
1,1587648783724,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,"WIFI",1
2,1587648783757,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",4,"MOBILE",1
3,1587649167510,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",1,"WIFI",1
4,1587649403646,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",1,"WIFI",1
5,1587649403647,"13dbc8a3-dae3-4834-823a-4bc96a7d459d",1,"WIFI",1
6,1587648788452,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,"WIFI",1
7,1587648788461,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",4,"MOBILE",1
8,1587649383414,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",4,"MOBILE",1
9,1587649384747,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",4,"MOBILE",1
10,1587651994007,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",4,"MOBILE",1
11,1587651994050,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",4,"MOBILE",1
12,1587652276897,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",4,"MOBILE",1
13,1587652276964,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",4,"MOBILE",1
14,1587652593776,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",4,"MOBILE",1
15,1587652593931,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",4,"MOBILE",1
16,1587655308254,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",4,"MOBILE",1
17,1587655308375,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",4,"MOBILE",1
18,1587656929961,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",4,"MOBILE",1
19,1587656929988,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",4,"MOBILE",1
20,1587657268562,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",4,"MOBILE",1
21,1587657268615,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",4,"MOBILE",1
22,1587657656207,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",4,"MOBILE",1
23,1587657657290,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",4,"MOBILE",1
24,1587659183661,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",4,"MOBILE",1
25,1587659183797,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",4,"MOBILE",1
26,1587660561837,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",4,"MOBILE",1
27,1587660561915,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",4,"MOBILE",1
28,1587661736193,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",4,"MOBILE",1
29,1587661737276,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",4,"MOBILE",1
30,1587661772185,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",4,"MOBILE",1
31,1587661783066,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",4,"MOBILE",1
32,1587661885534,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",4,"MOBILE",1
33,1587661885569,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",4,"MOBILE",1
34,1587661919196,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",4,"MOBILE",1
35,1587661919269,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",4,"MOBILE",1
36,1587662972989,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",4,"MOBILE",1
