"_id","timestamp","device_id","network_type","double_received_bytes","double_sent_bytes","double_received_packets","double_sent_packets"
1,1587648791398,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,227902,61732,355,409
2,1587648791428,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,48,0,1,0
3,1587648791442,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,0,0,0,1
4,1587648791450,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,0,0,0,0
5,1587648791487,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,5346,1789,6,9
6,1587648791499,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,0,0,0,0
7,1587648907228,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,860407,178001,1245,1317
8,1587648907248,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,48,0,1,0
9,1587652076499,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,3250255,2397886,8620,6621
10,1587652076510,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,1680,0,27,0
11,1587653081088,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,2614223,1217098,5597,4308
12,1587653081113,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,308,0,4,0
13,1587653085117,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,562,220,3,3
14,1587653085131,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,220,0,3,0
15,1587653093158,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,6596,11409,31,8
16,1587653093179,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,48,0,1,0
17,1587653109244,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,24939,10667,70,64
18,1587653109257,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,48,0,1,0
19,1587653139379,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,73034,95340,243,186
20,1587653139389,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,48,0,1,0
21,1587655706629,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,13594354,3827721,15592,8834
22,1587655706657,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,968,0,17,0
23,1587657713064,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,1837460,740801,4870,3935
24,1587657713089,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,1448,0,23,0
25,1587660171017,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,4419707,3744981,11187,9897
26,1587660171047,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",1,960,0,16,0
27,1587661807248,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524",2,-8163657,-1442659,-6932,-7434
