"_id","timestamp","device_id","touch_app","touch_action","touch_action_text","scroll_items","scroll_from_index","scroll_to_index"
1,1587648792736,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.android.vending","ACTION_AWARE_TOUCH_CLICKED","[AA]",-1,-1,-1
2,1587648833516,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","net.oneplus.launcher","ACTION_AWARE_TOUCH_CLICKED","[  AAAAA]",-1,-1,-1
3,1587648836916,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","ACTION_AWARE_TOUCH_CLICKED","[Aaaaaaaaaaaaa* Aaaaaaaaaaaa* aaaaaaaaa aaa aaaaa aa aaaaaaa *a*a*1*]",-1,-1,-1
4,1587648839750,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","ACTION_AWARE_TOUCH_CLICKED","[Aaaaaaaaaaaa* Aaaaaaaaaaa aaaaa]",-1,-1,-1
5,1587648842293,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","ACTION_AWARE_TOUCH_SCROLLED_DOWN","",35,4,15
6,1587648842431,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","ACTION_AWARE_TOUCH_SCROLLED_DOWN","",35,6,16
7,1587648843718,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","ACTION_AWARE_TOUCH_SCROLLED_DOWN","",35,7,17
8,1587648844095,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","ACTION_AWARE_TOUCH_SCROLLED_DOWN","",35,8,18
9,1587648844220,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","ACTION_AWARE_TOUCH_SCROLLED_DOWN","",35,10,20
10,1587648844622,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","ACTION_AWARE_TOUCH_SCROLLED_DOWN","",35,11,21
11,1587648845270,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","ACTION_AWARE_TOUCH_CLICKED","[Aaaaaaaaa* Aaaa*a aaaaaaaaa aaaaaaaa aa AAA aaa aaaaaaa aaaaaaaaaaaaa]",-1,-1,-1
12,1587648850067,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","ACTION_AWARE_TOUCH_CLICKED","[Aaaaaaa AAA aaaaaa aaaaaaaaa* 111]",-1,-1,-1
13,1587648867714,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","ACTION_AWARE_TOUCH_CLICKED","[Aaaaaaa AAA aaaaaa aaaaaaaaa* 111]",-1,-1,-1
14,1587648870601,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","ACTION_AWARE_TOUCH_CLICKED","[AA]",-1,-1,-1
15,1587648873233,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","ACTION_AWARE_TOUCH_CLICKED","[Aaaaaaaa aaaaaaaaa aaa AAA aaaaaaa* 111]",-1,-1,-1
16,1587648874387,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","ACTION_AWARE_TOUCH_CLICKED","[Aaaaaaa AAA aaaaaa aaaaaaaaa* 111]",-1,-1,-1
17,1587648875477,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","ACTION_AWARE_TOUCH_CLICKED","[AA]",-1,-1,-1
18,1587648883011,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","ACTION_AWARE_TOUCH_CLICKED","[Aaaaa* Aaaaaaa aaaaa *aaa*]",-1,-1,-1
19,1587648885548,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","ACTION_AWARE_TOUCH_SCROLLED_DOWN","",35,13,22
20,1587648885661,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","ACTION_AWARE_TOUCH_SCROLLED_DOWN","",35,14,24
21,1587648885920,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","ACTION_AWARE_TOUCH_SCROLLED_DOWN","",35,15,25
22,1587648886609,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","ACTION_AWARE_TOUCH_SCROLLED_DOWN","",35,16,26
23,1587648886848,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","ACTION_AWARE_TOUCH_SCROLLED_DOWN","",35,17,27
24,1587648887047,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","ACTION_AWARE_TOUCH_SCROLLED_DOWN","",35,18,27
25,1587648887389,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","ACTION_AWARE_TOUCH_SCROLLED_DOWN","",35,19,28
26,1587648888053,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","ACTION_AWARE_TOUCH_CLICKED","[Aaaaaaaaaaa aaaaaa* Aaaaaaaaaaa aaaaaa]",-1,-1,-1
27,1587648889470,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","ACTION_AWARE_TOUCH_SCROLLED_DOWN","",35,20,30
28,1587648889608,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","ACTION_AWARE_TOUCH_SCROLLED_DOWN","",35,21,31
29,1587648889747,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","ACTION_AWARE_TOUCH_SCROLLED_DOWN","",35,22,32
30,1587648889983,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","ACTION_AWARE_TOUCH_SCROLLED_DOWN","",35,23,34
31,1587648890948,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","ACTION_AWARE_TOUCH_CLICKED","[Aa*Aa* Aa*Aa aaaaaaa]",-1,-1,-1
32,1587648904001,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","ACTION_AWARE_TOUCH_SCROLLED_UP","",35,18,28
33,1587648904127,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","ACTION_AWARE_TOUCH_SCROLLED_UP","",35,17,27
34,1587648904373,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","ACTION_AWARE_TOUCH_SCROLLED_UP","",35,16,26
35,1587648904618,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","ACTION_AWARE_TOUCH_SCROLLED_UP","",35,15,25
36,1587648904862,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","ACTION_AWARE_TOUCH_SCROLLED_UP","",35,14,24
37,1587648905630,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","ACTION_AWARE_TOUCH_SCROLLED_UP","",35,13,23
38,1587648906072,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","ACTION_AWARE_TOUCH_CLICKED","[Aaaaaaaaa* Aaaa*a aaaaaaaaa aaaaaaaa aa AAA aaa aaaaaaa aaaaaaaaaaaaa]",-1,-1,-1
39,1587648919640,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","ACTION_AWARE_TOUCH_CLICKED","[Aaaaaaa]",-1,-1,-1
40,1587648922110,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","ACTION_AWARE_TOUCH_CLICKED","[aaa*aaaaa*aaaaaa*aaaaaaa*aaaaa]",-1,-1,-1
41,1587648923410,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","ACTION_AWARE_TOUCH_CLICKED","[AAAAAAAA]",-1,-1,-1
42,1587648924723,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","ACTION_AWARE_TOUCH_CLICKED","[aaa*aaaaa*aaaaaa*aaaaaaa*aaaaa]",-1,-1,-1
43,1587648952185,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","ACTION_AWARE_TOUCH_CLICKED","[Aaaaaaa]",-1,-1,-1
44,1587648964054,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","ACTION_AWARE_TOUCH_SCROLLED_DOWN","",35,8,18
45,1587648964190,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","ACTION_AWARE_TOUCH_SCROLLED_DOWN","",35,12,22
46,1587648964323,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","ACTION_AWARE_TOUCH_SCROLLED_DOWN","",35,14,24
47,1587648964458,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","ACTION_AWARE_TOUCH_SCROLLED_DOWN","",35,16,26
48,1587648964580,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","ACTION_AWARE_TOUCH_SCROLLED_DOWN","",35,17,27
49,1587648964689,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","ACTION_AWARE_TOUCH_SCROLLED_DOWN","",35,19,28
50,1587648964993,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","ACTION_AWARE_TOUCH_CLICKED","[Aaaaaaa]",-1,-1,-1
51,1587648965384,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","ACTION_AWARE_TOUCH_SCROLLED_DOWN","",35,21,31
52,1587648966438,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","ACTION_AWARE_TOUCH_CLICKED","[Aaaaaaa]",-1,-1,-1
53,1587648967499,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","ACTION_AWARE_TOUCH_CLICKED","[aaa*aaaaa*aaaaaa*aaaaaaa*aaaaa]",-1,-1,-1
54,1587648969731,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","ACTION_AWARE_TOUCH_CLICKED","[Aaaaaaa]",-1,-1,-1
55,1587648971667,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","ACTION_AWARE_TOUCH_SCROLLED_DOWN","",35,7,17
56,1587648971789,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","ACTION_AWARE_TOUCH_SCROLLED_DOWN","",35,10,20
57,1587648971904,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","ACTION_AWARE_TOUCH_SCROLLED_DOWN","",35,13,22
58,1587648972038,"a748ee1a-1d0b-4ae9-9074-279a2b6ba524","com.aware.phone","ACTION_AWARE_TOUCH_SCROLLED_DOWN","",35,14,24
